username,repo_name,stars,repo_url
Genymobile,scrcpy,83400,https://github.com/Genymobile/scrcpy
neovim,neovim,65800,https://github.com/neovim/neovim
obsproject,obs-studio,47600,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,46300,https://github.com/fffaraz/awesome-cpp
git,git,46200,https://github.com/git/git
FFmpeg,FFmpeg,36100,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,35300,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,30200,https://github.com/vim/vim
curl,curl,30100,https://github.com/curl/curl
huihut,interview,28900,https://github.com/huihut/interview
ggreer,the_silver_searcher,24900,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,23000,https://github.com/pbatard/rufus
mpv-player,mpv,22300,https://github.com/mpv-player/mpv
ossrs,srs,21600,https://github.com/ossrs/srs
google,flatbuffers,20400,https://github.com/google/flatbuffers
ruby,ruby,20300,https://github.com/ruby/ruby
kovidgoyal,kitty,18600,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,18600,https://github.com/microsoft/vcpkg
oracle,graal,18600,https://github.com/oracle/graal
radareorg,radare2,18000,https://github.com/radareorg/radare2
