username,repo_name,stars,repo_url
ccxt,ccxt,28200,https://github.com/ccxt/ccxt
discordjs,discord.js,23100,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,21900,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16400,https://github.com/hubotio/hubot
RasaHQ,rasa,16300,https://github.com/RasaHQ/rasa
wechaty,wechaty,16200,https://github.com/wechaty/wechaty
InstaPy,InstaPy,15300,https://github.com/InstaPy/InstaPy
gunthercox,ChatterBot,13200,https://github.com/gunthercox/ChatterBot
Rapptz,discord.py,12800,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,12800,https://github.com/tgbot-collection/YYeTsBot
leon-ai,leon,12600,https://github.com/leon-ai/leon
howdyai,botkit,11100,https://github.com/howdyai/botkit
botpress,botpress,10300,https://github.com/botpress/botpress
pedroslopez,whatsapp-web.js,10000,https://github.com/pedroslopez/whatsapp-web.js
sfyc23,EverydayWechat,9500,https://github.com/sfyc23/EverydayWechat
Mrs4s,go-cqhttp,8200,https://github.com/Mrs4s/go-cqhttp
microsoft,ailab,7400,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7100,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7100,https://github.com/microsoft/botframework-sdk
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
